"id","ranking","title","place","period"
1,1,"뮤지컬 〈킹키부츠〉 - 대구","계명아트센터","2025.1.11~1.26"
2,2,"뮤지컬 〈광화문연가〉","디큐브 링크아트센터","2024.10.23~2025.1.5"
3,3,"뮤지컬 지킬앤하이드 (Jekyll ＆ Hyde) - 20주년","블루스퀘어 신한카드홀","2024.11.29~2025.5.18"
4,4,"뮤지컬 〈스윙 데이즈_암호명 A〉","충무아트센터 대극장","2024.11.19~2025.2.9"
5,5,"최현우 19＋I","올림픽공원 우리금융아트홀","2024.11.23~12.29"
6,6,"뮤지컬 〈빨래〉","인터파크 유니플렉스 2관","2024.6.7~2025.3.2"
7,7,"2024 뮤지컬 〈지저스 크라이스트 수퍼스타〉","광림아트센터 BBCH홀","2024.11.7~2025.1.12"
8,8,"뮤지컬 〈틱틱붐〉 (tick, tick… BOOM!)","coex 신한카드 artium","2024.11.16~2025.2.2"
9,9,"뮤지컬 〈알라딘〉 한국 초연 (ALADDIN The Musical)","샤롯데씨어터","2024.11.22~2025.6.22"
10,10,"뮤지컬 〈시라노〉","예술의전당 CJ 토월극장","2024.12.6~2025.2.23"
11,11,"뮤지컬 〈여신님이 보고 계셔〉","인터파크 유니플렉스 1관","2024.11.26~2025.3.3"
12,12,"뮤지컬 〈마타하리〉","LG아트센터 서울 LG SIGNATURE 홀","2024.12.5~2025.3.2"
13,13,"뮤지컬 〈긴긴밤〉","링크아트센터드림 드림2관","2024.10.15~2025.1.5"
14,14,"뮤지컬 〈고스트 베이커리〉","두산아트센터 연강홀","2024.12.19~2025.2.23"
15,15,"뮤지컬 〈이터니티〉","예스24아트원 1관","2024.9.19~12.8"
16,16,"뮤지컬 〈이프덴〉","홍익대 대학로 아트센터 대극장","2024.12.3~2025.3.2"
17,17,"스탠드 업 코미디 뮤지컬 〈방구석 뮤지컬〉","링크아트센터드림 드림4관","2024.9.29~12.8"
18,18,"뮤지컬 〈리지〉","두산아트센터 연강홀","2024.9.14~12.1"
19,19,"뮤지컬 〈킹키부츠〉 - 세종시","세종예술의전당(세종특별자치시)","2025.1.4~1.5"
20,20,"뮤지컬 〈시카고〉 - 대구","대구오페라하우스","2024.11.29~12.8"
21,21,"뮤지컬 〈명성황후〉 30주년 기념 공연 - 부산","부산 드림씨어터","2024.12.20~12.29"
22,22,"［앵콜］더매직스타 전국투어 콘서트 - 성남","성남아트센터 오페라하우스","2025.1.18~1.19"
23,23,"뮤지컬 〈젠틀맨스 가이드 : 사랑과 살인편〉 - 대구","계명아트센터","2024.12.20~12.25"
24,24,"뮤지컬 〈시카고〉 - 부산","부산시민회관 대극장","2024.12.14~12.22"
25,25,"뮤지컬 〈시카고〉 - 안산","안산문화예술의전당 해돋이극장","2025.1.18~1.19"
26,26,"뮤지컬 〈글루미 선데이〉","링크아트센터 페이코홀","2024.11.5~2025.1.26"
27,27,"뮤지컬 〈시카고〉 - 성남","성남아트센터 오페라하우스","2025.1.10~1.12"
28,28,"뮤지컬 〈테일러〉","대학로 TOM(티오엠) 1관","2024.11.19~2025.2.9"
29,29,"뮤지컬 〈해적〉 : THE LAST VOYAGE","링크아트센터 벅스홀","2024.11.5~2025.2.2"
30,30,"뮤지컬 〈킹키부츠〉 - 김해","김해문화의전당 마루홀","2024.12.14~12.15"
31,31,"뮤지컬 〈쿠로이 저택엔 누가 살고 있을까？〉","플러스씨어터","2024.10.29~2025.1.19"
32,32,"뮤지컬 〈시카고〉 - 용인","용인포은아트홀","2025.1.25~1.26"
33,33,"뮤지컬 〈바울과 나〉","KT＆G 상상마당 대치아트홀","2024.11.2~12.7"
34,34,"뮤지컬 〈종의 기원〉","동덕여자대학교 공연예술센터 코튼홀","2024.12.29~2025.3.23"
35,35,"2024 연말 특별 뮤지컬 〈당신만이〉 - 평택","평택서부문화예술회관 대공연장","2024.12.13~12.14"
36,36,"뮤지컬 〈광화문연가〉 - 부산","부산 드림씨어터","2025.1.11~1.12"
37,37,"뮤지컬 〈명성황후〉 30주년 기념 공연 - 대구","계명아트센터","2024.12.10~12.15"
38,38,"뮤지컬 〈아이참 Eye Charm〉","국립정동극장","2024.11.28~12.29"
39,39,"뮤지컬 〈드라이 플라워〉","예스24아트원 2관(구 아트원씨어터)","2024.9.24~12.8"
40,40,"뮤지컬 〈맥베스〉","세종문화회관 M씨어터","2024.12.12~12.29"
41,41,"뮤지컬 〈홀리 이노센트〉","링크아트센터드림 드림1관","2024.9.27~12.8"
42,42,"［앵콜］더매직스타 전국투어 콘서트 - 수원","경기아트센터 대극장","2024.12.21~12.22"
43,43,"쇼뮤지컬 와일드 와일드 〈애프터파티〉","와일드 와일드 전용관 (명보아트홀)","2024.8.16~12.31"
44,44,"뮤지컬 〈해피 오! 해피〉","더굿씨어터","2024.11.22~2025.1.26"
45,45,"이상한 나라의 아빠 - 부산","부산 북구문화예술회관(구, 북구빙상센터)","2024.12.13~12.14"
46,46,"뮤지컬 〈킹키부츠〉 - 성남","성남아트센터 오페라하우스","2024.12.21~12.22"
47,47,"2024 난타 크리스마스 특별 부산 공연","부산문화회관 중극장","2024.12.20~12.25"
48,48,"2024 뮤지컬 빨래 - 대전","대전시립연정국악원 큰마당","2024.12.13~12.15"
49,49,"뮤지컬 〈랭보〉","예스24스테이지 1관","2024.9.17~12.8"
50,50,"뮤지컬 〈김종욱 찾기〉","브릭스씨어터","2024.1.1~12.31"
